Team And Year,MOV (PPG),SRS,ORtg,DRtg,NRtg,Win%,Pythagorean Win%,MOV Percentile,SRS Percentile,ORTG Percentile,DRTG Percentile,Net Rating Percentile,Win% Percentile,Pythagorean Win% Percentile
Indiana Pacers: 1988,-0.79,-0.18,106.6,107.4,-0.8,46.34146341,47.56097561,41.7,46.7,27.2,59.1,41.9,37.7,41
Philadelphia 76ers: 1988,-1.44,-0.79,108.8,110.3,-1.5,43.90243902,45.12195122,36.7,41.1,59,18.2,36.3,33.3,35.4
Phoenix Suns: 1988,-4.48,-4.8,107,111.4,-4.4,34.14634146,36.58536585,18.4,16.8,40.9,13.7,20,17.9,20.5
San Antonio Spurs: 1988,-4.88,-5.02,108.2,112.8,-4.6,37.80487805,35.36585366,16.6,15.4,50,4.6,18.6,23.5,18
Sacramento Kings: 1988,-5.76,-5.84,106.5,112.1,-5.6,29.26829268,32.92682927,12.8,12,18.1,9.1,14.6,10.6,14.7
New Jersey Nets: 1988,-8.11,-6.98,101.4,109.6,-8.2,23.17073171,25.6097561,5.2,7.5,4.5,22.8,5.2,4.1,5.1
Golden State Warriors: 1988,-8.32,-8.38,104.7,112.9,-8.2,24.3902439,25.6097561,4.9,4.1,9,0,5.2,5.3,5.1
Los Angeles Clippers: 1988,-10.32,-10.24,97.4,107.6,-10.2,20.73170732,19.51219512,0.7,0.7,0,50,1.4,2.1,0.8
Cleveland Cavaliers: 1989,7.6,7.95,110.6,102.9,7.7,69.51219512,73.17073171,96.1,97.7,66.6,95.9,95,88.4,94.8
Phoenix Suns: 1989,7.7,6.84,113.1,105.7,7.4,67.07317073,71.95121951,96.5,94.5,95.8,83.4,94,83.7,92.3
Los Angeles Lakers: 1989,7.17,6.38,113.8,106.7,7.1,69.51219512,70.73170732,94.5,92,100,75,92.6,88.4,90.5
Detroit Pistons: 1989,5.8,6.24,110.8,104.7,6.1,76.82926829,68.29268293,88.4,90.9,70.8,91.7,88.3,97.6,86.2
Utah Jazz: 1989,5.02,4.01,106.6,101.5,5.1,62.19512195,67.07317073,85.3,80.2,33.3,100,84,75.5,84.8
Atlanta Hawks: 1989,4.91,5.26,112.2,107.2,5,63.41463415,65.85365854,84.6,86.8,87.5,66.7,83.5,77.4,82.8
Milwaukee Bucks: 1989,3.61,4.11,110.1,106.4,3.7,59.75609756,60.97560976,76.2,80.8,62.5,79.2,75.4,68.8,72.2
New York Knicks: 1989,3.77,3.62,111.1,107.5,3.6,63.41463415,60.97560976,77.3,77.4,79.1,62.5,74.5,77.4,72.2
Seattle SuperSonics: 1989,2.9,2.44,111.5,108.6,2.9,57.31707317,58.53658537,71.1,67.8,83.3,37.5,70.1,62.9,66.5
Denver Nuggets: 1989,1.7,0.91,108.6,107.1,1.5,53.65853659,54.87804878,61.7,55,50,70.9,58.6,55,57.6
Philadelphia 76ers: 1989,1.5,1.68,113,111.5,1.5,56.09756098,54.87804878,59.9,61.5,91.6,4.2,58.6,61.5,57.6
Chicago Bulls: 1989,1.44,2.13,109.1,107.7,1.4,57.31707317,54.87804878,58.9,65,54.1,58.4,57.7,62.9,57.6
Portland Trail Blazers: 1989,1.46,0.92,109.4,108,1.4,47.56097561,54.87804878,59.2,55.1,58.3,45.9,57.7,39.7,57.6
Boston Celtics: 1989,1.16,1.26,110.8,109.6,1.2,51.2195122,53.65853659,56.9,57.6,70.8,20.9,56.8,48.5,54.7
Houston Rockets: 1989,0.95,0.22,105.7,104.8,0.9,54.87804878,53.65853659,54.9,50.3,25,87.5,53.5,58.8,54.7
Golden State Warriors: 1989,-0.3,-0.59,107.4,107.7,-0.3,52.43902439,48.7804878,45.3,42.9,41.6,58.4,45.2,52.7,43.6
Dallas Mavericks: 1989,-1.21,-1.79,107.4,108.6,-1.2,46.34146341,46.34146341,38.1,33.6,41.6,37.5,37.9,37.7,38
Washington Bullets: 1989,-2.16,-1.77,106.4,108.5,-2.1,48.7804878,42.68292683,31.6,33.7,29.1,41.7,32.2,41.8,31.1
Indiana Pacers: 1989,-4.17,-3,106.8,111,-4.2,34.14634146,36.58536585,20.2,26.2,37.5,8.4,20.6,17.9,20.5
Sacramento Kings: 1989,-5.55,-5.35,104.5,110,-5.5,32.92682927,32.92682927,14,13.4,20.8,16.7,15.1,16.3,14.7
New Jersey Nets: 1989,-6.35,-5.69,103,109.3,-6.3,31.70731707,30.48780488,10.5,12.6,12.5,25,12,14.3,11.7
San Antonio Spurs: 1989,-7.28,-7.45,100.9,107.9,-7,25.6097561,28.04878049,7.4,6.1,8.3,50,9.2,6.4,8
Charlotte Hornets: 1989,-8.52,-7.74,103.7,112.1,-8.4,24.3902439,25.6097561,4.7,5.2,16.6,0,5.1,5.3,5.1
Los Angeles Clippers: 1989,-9.91,-9.5,100.8,110.2,-9.4,25.6097561,21.95121951,1.2,1.4,4.1,12.5,3.4,6.4,2.6
Miami Heat: 1989,-11.23,-11.13,97.8,109,-11.2,18.29268293,18.29268293,0.4,0.2,0,29.2,0.4,1,0.4
Los Angeles Lakers: 1990,6.78,6.74,114,107,7,76.82926829,70.73170732,93.3,94.2,100,73.1,92.4,97.6,90.5
Phoenix Suns: 1990,7.1,7.09,113.1,106.2,6.9,65.85365854,70.73170732,94.1,95.2,92.3,80.8,92,81.2,90.5
Detroit Pistons: 1990,6.09,5.41,109.9,103.5,6.4,71.95121951,69.51219512,89.6,87.4,61.5,96.2,89.6,92.5,88.7
Portland Trail Blazers: 1990,6.32,6.48,110.5,104.4,6.1,71.95121951,69.51219512,90.9,92.6,69.2,88.5,88.3,92.5,88.7
Philadelphia 76ers: 1990,4.99,4.23,113.5,108.4,5.1,64.63414634,65.85365854,85,81.7,96.1,42.4,84,79.2,82.8
Utah Jazz: 1990,4.79,4.82,110.3,105.4,4.9,67.07317073,65.85365854,84,84.5,65.3,84.7,83.1,83.7,82.8
Boston Celtics: 1990,3.99,3.23,112,107.9,4.1,63.41463415,62.19512195,78.8,74.5,80.7,57.7,77.6,77.4,75.5
San Antonio Spurs: 1990,3.49,3.58,107.7,104.2,3.5,68.29268293,60.97560976,75.5,76.8,46.1,92.4,73.6,86.4,72.2
Chicago Bulls: 1990,3.26,2.74,112.3,109,3.3,67.07317073,60.97560976,73.5,70.9,84.6,30.8,72.2,83.7,72.2
Houston Rockets: 1990,1.46,1.71,104.8,103.4,1.4,50,54.87804878,59.2,62.1,19.2,100,57.7,44,57.6
New York Knicks: 1990,1.41,0.78,109.4,108,1.4,54.87804878,54.87804878,58.5,54.6,53.8,53.9,57.7,58.8,57.6
Denver Nuggets: 1990,1.41,1.56,108,106.7,1.3,52.43902439,54.87804878,58.5,60.3,50,77,57.4,52.7,57.6
Seattle SuperSonics: 1990,1.04,1.4,110.9,109.8,1.1,50,53.65853659,55.9,59.1,73,23.1,55.6,44,54.7
Atlanta Hawks: 1990,1.02,0.64,113,111.9,1.1,50,53.65853659,55.7,53.8,88.4,7.7,55.6,44,54.7
Indiana Pacers: 1990,0.16,-0.18,111.5,111.4,0.1,51.2195122,50,48.8,46.7,76.9,11.6,48.5,48.5,47.3
Dallas Mavericks: 1990,0.07,0.42,107.2,107.2,0,57.31707317,50,48.5,51.7,34.6,69.3,48.2,62.9,47.3
Cleveland Cavaliers: 1990,-0.3,-0.62,106.9,107.2,-0.3,51.2195122,48.7804878,45.3,42.3,30.7,69.3,45.2,48.5,43.6
Milwaukee Bucks: 1990,-0.78,-1.06,107.3,108.1,-0.8,53.65853659,47.56097561,41.9,39.1,38.4,50,41.9,55,41
Washington Bullets: 1990,-2.16,-2.43,107.5,109.7,-2.2,37.80487805,42.68292683,31.6,29.5,42.3,27,31.8,23.5,31.1
Golden State Warriors: 1990,-3.13,-2.55,109.6,112.6,-3,45.12195122,40.24390244,25.6,28.5,57.6,3.9,27.5,35.9,26.3
Los Angeles Clippers: 1990,-3.39,-2.8,104,107.4,-3.4,36.58536585,39.02439024,24.3,26.8,15.3,61.6,24.8,21.9,24.2
Minnesota Timberwolves: 1990,-4.23,-3.6,103.6,108.2,-4.6,26.82926829,35.36585366,19.7,22.2,11.5,46.2,18.6,8,18
Sacramento Kings: 1990,-5.06,-4.41,104.8,110,-5.2,28.04878049,34.14634146,15.7,18.2,19.2,15.4,16.3,9.4,16.4
New Jersey Nets: 1990,-7.87,-7.82,100.7,108.6,-7.9,20.73170732,25.6097561,5.6,5.1,3.8,38.5,6.2,2.1,5.1
Charlotte Hornets: 1990,-7.82,-7,102,109.9,-7.9,23.17073171,25.6097561,5.8,7.4,7.6,19.3,6.2,4.1,5.1
Orlando Magic: 1990,-8.91,-8.73,105.8,114.3,-8.5,21.95121951,25.6097561,3.6,3.2,26.9,0,5,3.4,5.1
Miami Heat: 1990,-9.72,-9.59,99.3,108.9,-9.6,21.95121951,21.95121951,1.3,1.1,0,34.7,2.7,3.4,2.6
Chicago Bulls: 1991,9.1,8.57,114.6,105.2,9.4,74.3902439,76.82926829,98.8,98.6,100,77,98.7,95.2,98
Portland Trail Blazers: 1991,8.68,8.47,112.8,104.3,8.5,76.82926829,75.6097561,98.2,98.5,96.1,92.4,97,97.6,97.2
Los Angeles Lakers: 1991,6.74,6.73,112.1,105,7.1,70.73170732,71.95121951,93.2,94.1,84.6,84.7,92.6,91,92.3
Phoenix Suns: 1991,6.55,6.49,112.6,106.1,6.5,67.07317073,69.51219512,92.4,93,88.4,73.1,90.2,83.7,88.7
Boston Celtics: 1991,5.82,5.22,112.6,106.7,5.9,68.29268293,68.29268293,88.5,86.6,88.4,65.4,87.3,86.4,86.2
San Antonio Spurs: 1991,4.51,4.3,107.8,103.3,4.5,67.07317073,64.63414634,82.8,81.9,50,100,79.9,83.7,79.9
Detroit Pistons: 1991,3.27,3.08,108.2,104.6,3.6,60.97560976,60.97560976,73.6,73.5,57.6,88.5,74.5,71.3,72.2
Utah Jazz: 1991,3.33,3.18,108.6,105.1,3.5,65.85365854,60.97560976,74,74.2,61.5,80.8,73.6,81.2,72.2
Houston Rockets: 1991,3.5,3.27,107.4,103.9,3.5,63.41463415,60.97560976,75.8,74.9,46.1,96.2,73.6,77.4,72.2
Milwaukee Bucks: 1991,2.48,2.33,109.7,107.2,2.5,58.53658537,58.53658537,68.3,66.7,65.3,61.6,66.7,66.1,66.5
Golden State Warriors: 1991,1.63,1.72,111.9,110.3,1.6,53.65853659,54.87804878,61.3,62.2,80.7,19.3,59.4,55,57.6
Seattle SuperSonics: 1991,1.23,1.31,109.7,108.5,1.2,50,53.65853659,57.3,58.4,65.3,38.5,56.8,44,54.7
Atlanta Hawks: 1991,0.77,0.72,110.9,110.1,0.8,52.43902439,52.43902439,53.2,54.4,73,23.1,52.8,52.7,51.9
New York Knicks: 1991,-0.23,-0.43,107.1,107.3,-0.2,47.56097561,48.7804878,46.2,44.8,42.3,57.7,46.2,39.7,43.6
Philadelphia 76ers: 1991,-0.18,-0.39,107.9,108.1,-0.2,53.65853659,50,47.2,45.1,53.8,50,46.2,55,47.3
Indiana Pacers: 1991,-0.39,-0.37,111.7,112.1,-0.4,50,48.7804878,44.4,45.4,76.9,3.9,44.3,44,43.6
Cleveland Cavaliers: 1991,-2.46,-2.33,106.1,108.7,-2.6,40.24390244,41.46341463,29.9,29.9,34.6,34.7,30,27.2,29.2
Los Angeles Clippers: 1991,-3.45,-3.16,103,106.5,-3.5,37.80487805,39.02439024,23.8,24.8,11.5,69.3,24.4,23.5,24.2
Orlando Magic: 1991,-3.98,-3.79,105.9,109.9,-4,37.80487805,37.80487805,20.9,21.1,30.7,27,21.4,23.5,21.6
Minnesota Timberwolves: 1991,-3.93,-3.75,106.7,110.9,-4.2,35.36585366,36.58536585,21,21.4,38.4,7.7,20.6,19.9,20.5
New Jersey Nets: 1991,-4.51,-4.53,102.9,107.4,-4.5,31.70731707,35.36585366,18.2,17.6,7.6,53.9,19.3,14.3,18
Dallas Mavericks: 1991,-4.57,-4.27,105.5,110.3,-4.8,34.14634146,35.36585366,18,19,26.9,19.3,17.8,17.9,18
Washington Bullets: 1991,-4.98,-4.84,103,108.1,-5.1,36.58536585,34.14634146,16.2,16.6,11.5,50,16.8,21.9,16.4
Charlotte Hornets: 1991,-5.24,-4.95,105,110.4,-5.4,31.70731707,32.92682927,15.1,15.7,19.2,11.6,15.6,14.3,14.7
Miami Heat: 1991,-5.99,-5.91,102,108.1,-6.1,29.26829268,30.48780488,12.1,11.6,0,50,12.4,10.6,11.7
Sacramento Kings: 1991,-6.78,-6.27,102,109.1,-7.1,30.48780488,28.04878049,9.1,10.5,0,30.8,8.9,12.9,8
Denver Nuggets: 1991,-10.91,-10.31,105.2,114.7,-9.5,24.3902439,23.17073171,0.5,0.6,23,0,3.1,5.3,3.7
Chicago Bulls: 1992,10.44,10.07,115.5,104.5,11,81.70731707,80.48780488,99.5,99.5,100,88.5,99.5,99.1,99.5
Portland Trail Blazers: 1992,7.27,6.94,111.4,104.2,7.2,69.51219512,71.95121951,95.2,94.9,76.9,96.2,93.3,88.4,92.3
Utah Jazz: 1992,6.39,5.7,112.2,105.6,6.6,67.07317073,69.51219512,91.2,88.9,88.4,77,90.5,83.7,88.7
Phoenix Suns: 1992,5.94,5.68,112.1,106.2,5.9,64.63414634,68.29268293,88.9,88.8,84.6,73.1,87.3,79.2,86.2
Cleveland Cavaliers: 1992,5.45,5.34,113.9,108.2,5.7,69.51219512,67.07317073,87.2,87.1,96.1,61.6,86.1,88.4,84.8
New York Knicks: 1992,3.89,3.67,108.3,104.2,4.1,62.19512195,63.41463415,78.1,78.1,57.6,96.2,77.6,75.5,77.6
Boston Celtics: 1992,3.62,3.41,110.8,107,3.8,62.19512195,62.19512195,76.4,76,73,69.3,76.5,75.5,75.5
Golden State Warriors: 1992,3.9,3.77,113.6,109.9,3.7,67.07317073,60.97560976,78.3,79.1,92.3,30.8,75.4,83.7,72.2
San Antonio Spurs: 1992,3.32,2.81,107.5,104.1,3.4,57.31707317,60.97560976,73.9,71.7,46.1,100,72.8,62.9,72.2
Detroit Pistons: 1992,2.04,2.06,107.5,105.3,2.2,58.53658537,57.31707317,64.1,64.7,46.1,80.8,64,66.1,63.5
Seattle SuperSonics: 1992,1.88,1.86,110.7,108.8,1.9,57.31707317,56.09756098,63.1,63.8,69.2,46.2,62.3,62.9,60.6
Indiana Pacers: 1992,1.89,1.85,111.7,109.9,1.8,48.7804878,56.09756098,63.2,63.6,80.7,30.8,61.7,41.8,60.6
Los Angeles Clippers: 1992,1.07,1.1,105.8,104.7,1.1,54.87804878,53.65853659,56.5,56.2,23,84.7,55.6,58.8,54.7
Los Angeles Lakers: 1992,-1.1,-0.95,107.7,108.9,-1.2,52.43902439,46.34146341,39,39.8,53.8,42.4,37.9,52.7,38
Philadelphia 76ers: 1992,-1.27,-1.34,108.3,109.7,-1.4,42.68292683,45.12195122,37.6,36.7,57.6,34.7,37,31.7,35.4
Atlanta Hawks: 1992,-1.5,-1.15,107.3,108.9,-1.6,46.34146341,45.12195122,35.6,38.2,42.3,42.4,35.5,37.7,35.4
New Jersey Nets: 1992,-1.7,-1.54,107,108.7,-1.7,48.7804878,43.90243902,34.3,35.1,34.6,50,34.4,41.8,32.9
Houston Rockets: 1992,-1.72,-1.94,106.2,108,-1.8,51.2195122,43.90243902,33.9,32.1,26.9,65.4,33.7,48.5,32.9
Milwaukee Bucks: 1992,-1.71,-1.46,108.8,110.6,-1.8,37.80487805,43.90243902,34.2,35.3,65.3,15.4,33.7,23.5,32.9
Charlotte Hornets: 1992,-3.9,-3.57,107.1,110.9,-3.8,37.80487805,37.80487805,21,22.4,38.4,11.6,22.3,23.5,21.6
Miami Heat: 1992,-4.21,-3.94,106.7,110.9,-4.2,46.34146341,36.58536585,20,20.3,30.7,11.6,20.6,37.7,20.5
Washington Bullets: 1992,-4.46,-4.35,103.9,108.4,-4.5,30.48780488,35.36585366,18.5,18.5,11.5,57.7,19.3,12.9,18
Sacramento Kings: 1992,-6.06,-5.63,103.9,109.9,-6,35.36585366,31.70731707,11.9,12.7,11.5,30.8,12.7,19.9,12.9
Orlando Magic: 1992,-6.91,-6.52,103.5,110.5,-7,25.6097561,28.04878049,8.7,9.3,7.6,19.3,9.2,6.4,8
Minnesota Timberwolves: 1992,-7.05,-6.85,105,112.4,-7.4,18.29268293,28.04878049,7.9,7.8,19.2,0,8,1,8
Denver Nuggets: 1992,-7.87,-7.59,100.7,108.6,-7.9,29.26829268,25.6097561,5.6,5.6,0,53.9,6.2,10.6,5.1
Dallas Mavericks: 1992,-7.65,-7.47,103,111.1,-8.1,26.82926829,25.6097561,6.1,5.8,3.8,3.9,5.7,8,5.1
Seattle SuperSonics: 1993,7.07,6.66,112.3,104.9,7.4,67.07317073,71.95121951,94,93.3,88.4,96.2,94,83.7,92.3
Chicago Bulls: 1993,6.29,6.19,112.9,106.1,6.8,69.51219512,70.73170732,90.5,90.8,96.1,77,91.6,88.4,90.5
Cleveland Cavaliers: 1993,6.45,6.3,112.7,106,6.7,65.85365854,70.73170732,91.6,91.6,92.3,80.8,91.1,81.2,90.5
Phoenix Suns: 1993,6.66,6.27,113.3,106.7,6.6,75.6097561,69.51219512,92.9,91.3,100,69.3,90.5,96.2,88.7
New York Knicks: 1993,6.16,5.87,106.1,99.7,6.4,73.17073171,70.73170732,90.1,89.8,19.2,100,89.6,94,90.5
Houston Rockets: 1993,4.23,3.57,109.6,105.2,4.4,67.07317073,64.63414634,80.5,76.7,73,92.4,79.3,83.7,79.9
Portland Trail Blazers: 1993,3.11,2.92,108.3,105.2,3.1,62.19512195,59.75609756,72.4,72.6,50,92.4,71.3,75.5,70.1
San Antonio Spurs: 1993,2.67,2.21,109.6,106.8,2.8,59.75609756,58.53658537,70,65.5,73,65.4,69.1,68.8,66.5
Utah Jazz: 1993,2.17,1.74,109.6,107.4,2.2,57.31707317,57.31707317,65.1,62.5,73,53.9,64,62.9,63.5
Indiana Pacers: 1993,1.7,1.77,111.9,110.1,1.8,50,56.09756098,61.7,63,84.6,27,61.7,44,60.6
Orlando Magic: 1993,1.32,1.35,108.5,107.1,1.4,50,54.87804878,57.8,58.6,53.8,61.6,57.7,44,57.6
New Jersey Nets: 1993,1.26,1.2,106.5,105.2,1.3,52.43902439,54.87804878,57.4,57,26.9,92.4,57.4,52.7,57.6
Boston Celtics: 1993,0.89,0.93,108.7,107.8,0.9,58.53658537,52.43902439,54.2,55.3,57.6,50,53.5,66.1,51.9
Los Angeles Clippers: 1993,0.35,0.33,107.4,107.1,0.3,50,51.2195122,50.6,51,34.6,61.6,49.6,44,49.1
Charlotte Hornets: 1993,-0.24,-0.02,109.5,109.7,-0.2,53.65853659,48.7804878,45.9,48.2,69.2,30.8,46.2,55,43.6
Atlanta Hawks: 1993,-0.87,-0.67,109.3,110.2,-0.9,52.43902439,47.56097561,41,41.9,65.3,19.3,40.8,52.7,41
Golden State Warriors: 1993,-0.99,-0.94,109.2,110.2,-1,41.46341463,46.34146341,40.5,39.9,61.5,19.3,40.3,29.8,38
Miami Heat: 1993,-1.15,-0.93,107.7,108.9,-1.2,43.90243902,46.34146341,38.2,40.1,46.1,46.2,37.9,33.3,38
Los Angeles Lakers: 1993,-1.27,-1.2,107.6,108.9,-1.3,47.56097561,46.34146341,37.6,37.8,42.3,46.2,37.6,39.7,38
Detroit Pistons: 1993,-1.39,-1.1,107.4,108.9,-1.5,48.7804878,45.12195122,36.9,38.6,34.6,46.2,36.3,41.8,35.4
Denver Nuggets: 1993,-1.74,-2.14,104.6,106.3,-1.7,43.90243902,43.90243902,33.8,30.9,11.5,73.1,34.4,33.3,32.9
Sacramento Kings: 1993,-3.17,-3,106.5,109.6,-3.1,30.48780488,40.24390244,25.3,26.2,26.9,34.7,26.8,12.9,26.3
Milwaukee Bucks: 1993,-3.73,-3.26,106.2,110.1,-3.9,34.14634146,37.80487805,22.4,24.2,23,27,22,17.9,21.6
Philadelphia 76ers: 1993,-5.77,-5.25,104.6,110.4,-5.8,31.70731707,31.70731707,12.6,14.1,11.5,11.6,13.6,14.3,12.9
Washington Bullets: 1993,-7.04,-6.49,103.6,110.8,-7.2,26.82926829,28.04878049,8,9.4,3.8,7.7,8.5,8,8
Minnesota Timberwolves: 1993,-7.78,-7.62,103.6,111.8,-8.2,23.17073171,25.6097561,5.9,5.5,3.8,3.9,5.2,4.1,5.1
Dallas Mavericks: 1993,-15.2,-14.68,99.5,114.7,-15.2,13.41463415,12.19512195,0,0,0,0,0,0.1,0
Seattle SuperSonics: 1994,9.09,8.68,111.1,101.5,9.6,76.82926829,78.04878049,98.7,98.7,96.1,92.4,98.9,97.6,98.6
New York Knicks: 1994,6.99,6.48,105.7,98.2,7.5,69.51219512,73.17073171,93.8,92.6,42.3,100,94.5,88.4,94.8
San Antonio Spurs: 1994,5.26,5.05,110.4,104.6,5.8,67.07317073,68.29268293,86.2,85.8,88.4,69.3,86.7,83.7,86.2
Atlanta Hawks: 1994,5.27,4.94,107.2,101.7,5.5,69.51219512,68.29268293,86.4,85.2,53.8,88.5,85.6,88.4,86.2
Phoenix Suns: 1994,4.84,4.68,111.7,106.8,4.9,68.29268293,65.85365854,84.3,83.9,100,42.4,83.1,86.4,82.8
Utah Jazz: 1994,4.22,4.1,108.6,104.1,4.5,64.63414634,64.63414634,80.4,80.7,76.9,77,79.9,79.2,79.9
Houston Rockets: 1994,4.32,4.19,105.9,101.4,4.5,70.73170732,64.63414634,81.7,81.4,46.1,96.2,79.9,91,79.9
Cleveland Cavaliers: 1994,4.02,3.64,109.4,105.1,4.3,57.31707317,63.41463415,79.1,77.7,80.7,61.6,78.9,62.9,77.6
Orlando Magic: 1994,3.89,3.68,110.8,106.7,4.1,60.97560976,63.41463415,78.1,78.3,92.3,50,77.6,71.3,77.6
Indiana Pacers: 1994,3.45,3.26,107.8,104.2,3.6,57.31707317,62.19512195,75.3,74.8,61.5,73.1,74.5,62.9,75.5
Chicago Bulls: 1994,3.09,2.87,106.1,102.7,3.4,67.07317073,60.97560976,72.3,72.1,50,80.8,72.8,83.7,72.2
Miami Heat: 1994,2.67,2.4,109.5,106.7,2.8,51.2195122,58.53658537,70,67.6,84.6,50,69.1,48.5,66.5
Portland Trail Blazers: 1994,2.63,2.6,108.1,105.5,2.6,57.31707317,58.53658537,69.5,69.7,65.3,57.7,68,62.9,66.5
New Jersey Nets: 1994,2.2,2.11,107.2,104.9,2.3,54.87804878,57.31707317,65.5,64.9,53.8,65.4,64.6,58.8,63.5
Golden State Warriors: 1994,1.74,1.76,108.3,106.5,1.8,60.97560976,56.09756098,62.3,62.8,69.2,53.9,61.7,71.3,60.6
Denver Nuggets: 1994,1.49,1.54,103.9,102.3,1.6,51.2195122,54.87804878,59.8,60.2,26.9,84.7,59.4,48.5,57.6
Charlotte Hornets: 1994,-0.22,-0.23,108.4,108.6,-0.2,50,48.7804878,46.4,46.2,73,38.5,46.2,44,43.6
Boston Celtics: 1994,-4.28,-4.28,104.2,108.7,-4.5,39.02439024,35.36585366,19.4,18.9,30.7,30.8,19.3,25.6,18
Los Angeles Lakers: 1994,-4.29,-3.93,104.8,109.3,-4.5,40.24390244,35.36585366,19.2,20.4,38.4,19.3,19.3,27.2,18
Los Angeles Clippers: 1994,-5.72,-5.28,102.9,108.6,-5.7,32.92682927,31.70731707,13,14,19.2,38.5,13.9,16.3,12.9
Sacramento Kings: 1994,-5.77,-5.32,103.3,109.2,-5.9,34.14634146,31.70731707,12.6,13.6,23,27,13.1,17.9,12.9
Milwaukee Bucks: 1994,-6.48,-6.24,102.5,109.3,-6.8,24.3902439,29.26829268,10.2,10.7,11.5,19.3,10,5.3,9.8
Minnesota Timberwolves: 1994,-6.93,-6.55,101.9,109.2,-7.3,24.3902439,28.04878049,8.5,9.1,7.6,27,8.3,5.3,8
Washington Bullets: 1994,-7.38,-7.13,104.5,112.2,-7.7,29.26829268,26.82926829,6.7,6.9,34.6,0,7.3,10.6,6.8
Philadelphia 76ers: 1994,-7.62,-7.37,101.7,109.7,-8,30.48780488,25.6097561,6.2,6.3,3.8,7.7,5.9,12.9,5.1
Detroit Pistons: 1994,-7.78,-7.46,102.7,110.9,-8.2,24.3902439,25.6097561,5.9,6,15.3,3.9,5.2,5.3,5.1
Dallas Mavericks: 1994,-8.7,-8.19,100.4,109.6,-9.2,15.85365854,23.17073171,4.3,4.5,0,11.6,4,0.5,3.7
Utah Jazz: 1995,7.99,7.76,114.3,105.7,8.6,73.17073171,74.3902439,97.5,97.2,88.4,77,97.4,94,95.5
Seattle SuperSonics: 1995,8.18,7.91,114.8,106.3,8.5,69.51219512,74.3902439,97.7,97.5,96.1,65.4,97,88.4,95.5
Orlando Magic: 1995,7.06,6.44,115.1,107.8,7.3,69.51219512,71.95121951,93.9,92.3,100,53.9,93.5,88.4,92.3
San Antonio Spurs: 1995,5.96,5.9,111.7,105.4,6.3,75.6097561,69.51219512,89.2,89.9,84.6,84.7,89.4,96.2,88.7
Chicago Bulls: 1995,4.83,4.32,109.5,104.3,5.2,57.31707317,65.85365854,84.2,82.1,65.3,96.2,84.4,62.9,82.8
Phoenix Suns: 1995,3.88,3.86,114.5,110.4,4.1,71.95121951,62.19512195,77.9,79.7,92.3,30.8,77.6,92.5,75.5
Portland Trail Blazers: 1995,3.82,3.8,109.7,105.7,4,53.65853659,63.41463415,77.5,79.2,76.9,77,77.2,55,77.6
Indiana Pacers: 1995,3.7,3.35,109.6,105.6,4,63.41463415,63.41463415,76.8,75.6,69.2,80.8,77.2,77.4,77.6
Charlotte Hornets: 1995,3.28,2.87,109.6,106.1,3.5,60.97560976,60.97560976,73.6,72.1,69.2,69.3,73.6,71.3,72.2
New York Knicks: 1995,3.11,2.78,107.2,103.8,3.4,67.07317073,60.97560976,72.4,71.4,42.3,100,72.8,83.7,72.2
Houston Rockets: 1995,2.12,2.32,109.7,107.4,2.3,57.31707317,57.31707317,64.8,66.5,76.9,57.7,64.6,62.9,63.5
Atlanta Hawks: 1995,1.28,1.06,106.6,105.2,1.4,51.2195122,54.87804878,57.6,56,34.6,88.5,57.7,48.5,57.6
Denver Nuggets: 1995,0.84,0.96,109.1,108.2,0.9,50,52.43902439,53.9,55.4,57.6,50,53.5,44,51.9
Cleveland Cavaliers: 1995,0.62,0.55,105.3,104.6,0.7,52.43902439,52.43902439,52.2,52.7,19.2,92.4,52.2,52.7,51.9
Los Angeles Lakers: 1995,-0.22,-0.01,109.1,109.4,-0.3,58.53658537,48.7804878,46.4,48.6,57.6,42.4,45.2,66.1,43.6
Sacramento Kings: 1995,-1,-0.74,105.5,106.5,-1,47.56097561,46.34146341,40.2,41.5,26.9,61.6,40.3,39.7,38
Miami Heat: 1995,-1.63,-1.85,108.2,109.9,-1.7,39.02439024,43.90243902,34.6,32.6,50,34.7,34.4,25.6,32.9
Boston Celtics: 1995,-1.88,-1.92,108.6,110.6,-2,42.68292683,43.90243902,32.9,32.2,53.8,27,32.8,31.7,32.9
Dallas Mavericks: 1995,-2.9,-2.39,107.6,110.6,-3,43.90243902,40.24390244,27.3,29.7,46.1,27,27.5,33.3,26.3
New Jersey Nets: 1995,-3.13,-3.28,105.2,108.6,-3.4,36.58536585,39.02439024,25.6,24,15.3,46.2,24.8,21.9,24.2
Milwaukee Bucks: 1995,-4.37,-4.3,106.2,110.9,-4.7,41.46341463,35.36585366,18.9,18.8,30.7,19.3,18.3,29.8,18
Golden State Warriors: 1995,-5.41,-4.9,106.7,112.2,-5.5,31.70731707,32.92682927,14.5,16.2,38.4,7.7,15.1,14.3,14.7
Philadelphia 76ers: 1995,-5.07,-5.06,104.1,109.7,-5.6,29.26829268,32.92682927,15.7,15.3,7.6,38.5,14.6,10.6,14.7
Washington Bullets: 1995,-5.6,-5.56,105.4,111.3,-5.9,25.6097561,31.70731707,13.8,12.8,23,11.6,13.1,6.4,12.9
