Team And Year,MOV (PPG),SRS,ORtg,DRtg,NRtg,Win%,Pythagorean Win%,MOV Percentile,SRS Percentile,ORTG Percentile,DRTG Percentile,Net Rating Percentile,Win% Percentile,Pythagorean Win% Percentile
Oklahoma City Thunder: 2019,3.4,3.56,110.3,107,3.3,59.75609756,60.97560976,74.4,76.5,44.8,89.7,72.2,68.8,72.2
Philadelphia 76ers: 2019,2.7,2.25,112.6,110,2.6,62.19512195,58.53658537,70.4,65.9,75.8,51.8,68,75.5,66.5
San Antonio Spurs: 2019,1.68,1.8,112.9,111.2,1.7,58.53658537,54.87804878,61.6,63.2,79.3,38,60.3,66.1,57.6
Los Angeles Clippers: 2019,0.85,1.09,112.4,111.5,0.9,58.53658537,52.43902439,54,56.1,72.4,34.5,53.5,66.1,51.9
Orlando Magic: 2019,0.71,0.28,108.9,108.1,0.8,51.2195122,52.43902439,52.6,50.6,27.5,75.9,52.8,48.5,51.9
Brooklyn Nets: 2019,-0.07,-0.4,109.6,109.7,-0.1,51.2195122,50,48.1,44.9,37.9,55.2,47.5,48.5,47.3
Detroit Pistons: 2019,-0.24,-0.56,109,109.2,-0.2,50,48.7804878,45.9,43.2,31,65.6,46.2,44,43.6
Miami Heat: 2019,-0.23,-0.45,107.3,107.6,-0.3,47.56097561,48.7804878,46.2,44.5,13.7,82.8,45.2,39.7,43.6
Sacramento Kings: 2019,-1.12,-0.81,110.4,111.5,-1.1,47.56097561,46.34146341,38.5,40.9,48.2,34.5,39.2,39.7,38
Charlotte Hornets: 2019,-1.1,-1.32,111.4,112.5,-1.1,47.56097561,46.34146341,39,36.9,58.6,27.6,39.2,39.7,38
New Orleans Pelicans: 2019,-1.33,-1.1,111.4,112.6,-1.2,40.24390244,46.34146341,37.3,38.6,58.6,24.2,37.9,27.2,38
Dallas Mavericks: 2019,-1.28,-0.87,109.4,110.7,-1.3,40.24390244,46.34146341,37.5,40.8,34.4,44.9,37.6,27.2,38
Minnesota Timberwolves: 2019,-1.5,-1.02,111.4,112.9,-1.5,43.90243902,45.12195122,35.6,39.2,58.6,20.7,36.3,33.3,35.4
Los Angeles Lakers: 2019,-1.72,-1.33,107.8,109.5,-1.7,45.12195122,45.12195122,33.9,36.8,20.6,62.1,34.4,35.9,35.4
Memphis Grizzlies: 2019,-2.6,-2.08,106.1,108.8,-2.7,40.24390244,41.46341463,29.3,31.2,10.3,72.5,29.3,27.2,29.2
Washington Wizards: 2019,-2.9,-3.3,111.1,113.9,-2.8,39.02439024,41.46341463,27.3,23.8,55.1,10.4,28.6,25.6,29.2
Atlanta Hawks: 2019,-6.02,-6.06,108.1,113.9,-5.8,35.36585366,32.92682927,12,11.2,24.1,10.4,13.6,19.9,14.7
Chicago Bulls: 2019,-8.41,-8.32,104.8,113.2,-8.4,26.82926829,25.6097561,4.8,4.3,3.4,17.3,5.1,8,5.1
New York Knicks: 2019,-9.21,-8.93,104.5,113.7,-9.2,20.73170732,23.17073171,2.7,2.6,0,13.8,4,2.1,3.7
Phoenix Suns: 2019,-9.34,-8.61,105.9,115.1,-9.2,23.17073171,23.17073171,2.3,3.3,6.8,3.5,4,4.1,3.7
Cleveland Cavaliers: 2019,-9.61,-9.39,107.7,117.6,-9.9,23.17073171,23.17073171,1.6,1.7,17.2,0,2,4.1,3.7
Milwaukee Bucks: 2020,10.08,9.41,112.4,102.9,9.5,76.71232877,78.08219178,99.2,99.3,72.4,100,98.8,97.5,99.1
Boston Celtics: 2020,6.31,5.83,113.3,107,6.3,66.66666667,69.44444444,90.8,89.4,89.6,89.7,89.4,83.6,88.4
Los Angeles Clippers: 2020,6.44,6.66,113.9,107.6,6.3,68.05555556,69.44444444,91.5,93.3,96.5,86.3,89.4,86.3,88.4
Toronto Raptors: 2020,6.24,5.97,111.1,105,6.1,73.61111111,69.44444444,90.4,90.2,55.1,96.6,88.3,94.9,88.4
Los Angeles Lakers: 2020,5.79,6.28,112,106.3,5.7,73.23943662,67.6056338,88.3,91.4,65.5,93.2,86.1,94.8,86.1
Dallas Mavericks: 2020,4.95,4.87,116.7,111.7,5,57.33333333,65.33333333,84.8,84.9,100,41.4,83.5,65.8,82.7
Miami Heat: 2020,2.95,2.59,112.5,109.5,3,60.2739726,58.90410959,71.6,69.4,79.3,72.5,70.9,70.9,69.7
Houston Rockets: 2020,2.96,3.13,112.9,110.1,2.8,61.11111111,58.33333333,71.7,73.8,82.7,55.2,69.1,74.6,66.3
Utah Jazz: 2020,2.47,2.52,112.3,109.9,2.4,61.11111111,58.33333333,68.2,68.6,68.9,58.7,66.2,74.6,66.3
Philadelphia 76ers: 2020,2.38,2.25,111.3,109,2.3,58.90410959,57.53424658,67.6,65.9,58.6,75.9,64.6,68.6,65.8
Denver Nuggets: 2020,2.11,2.35,113.1,111,2.1,63.01369863,56.16438356,64.6,67,86.2,48.3,63.5,77.3,63.2
Indiana Pacers: 2020,1.96,1.63,110,108,2,61.64383562,56.16438356,63.5,61.1,37.9,82.8,62.8,74.9,63.2
Oklahoma City Thunder: 2020,1.99,2.33,110.8,108.8,2,61.11111111,56.94444444,63.7,66.7,48.2,79.4,62.8,74.6,63.4
Phoenix Suns: 2020,0.22,0.56,111.7,111.4,0.3,46.57534247,50.68493151,49.2,52.9,62,44.9,49.6,39.3,49
Brooklyn Nets: 2020,-0.57,-1.01,108.9,109.5,-0.6,48.61111111,48.61111111,43.1,39.5,27.5,72.5,42.9,41.7,43.5
Orlando Magic: 2020,-1.01,-0.93,108.5,109.5,-1,45.20547945,46.57534247,40,40.1,24.1,72.5,40.3,37.5,40.8
San Antonio Spurs: 2020,-1.11,-0.65,112.4,113.5,-1.1,45.07042254,46.47887324,38.7,42.1,72.4,17.3,39.2,35.8,40.7
Memphis Grizzlies: 2020,-1.07,-0.91,109.2,110.3,-1.1,46.57534247,46.57534247,39.4,40.3,34.4,51.8,39.2,39.3,40.8
Portland Trail Blazers: 2020,-1.15,-0.61,113.7,114.8,-1.1,47.2972973,45.94594595,38.2,42.6,93.1,10.4,39.2,39.6,37.8
New Orleans Pelicans: 2020,-1.29,-0.55,110.7,111.9,-1.2,41.66666667,45.83333333,37.4,43.3,44.8,38,37.9,31.5,37.7
Sacramento Kings: 2020,-2.04,-1.59,110.2,112.2,-2,43.05555556,43.05555556,32.4,34.7,41.3,34.5,32.8,33.2,32.8
Chicago Bulls: 2020,-3.08,-4,106.7,109.8,-3.1,33.84615385,40,26.2,20,10.3,62.1,26.8,17.8,26.1
Detroit Pistons: 2020,-3.56,-4.38,109,112.7,-3.7,30.3030303,39.39393939,23.2,18.4,31,27.6,23.1,12.7,26
Minnesota Timberwolves: 2020,-4.3,-4.02,108.1,112.2,-4.1,29.6875,37.5,19.1,19.8,20.6,34.5,21.1,12.5,21.5
Washington Wizards: 2020,-4.67,-5.24,110.9,115.5,-4.6,34.72222222,36.11111111,17.6,14.2,51.7,0,18.6,19.6,20.3
New York Knicks: 2020,-6.45,-6.72,106.5,113,-6.5,31.81818182,30.3030303,10.4,8.4,6.8,24.2,11.2,15.9,11.6
Charlotte Hornets: 2020,-6.75,-7.03,106.3,113.3,-7,35.38461538,29.23076923,9.3,7.3,3.4,20.7,9.2,21.7,9.7
Atlanta Hawks: 2020,-7.97,-7.71,107.2,114.8,-7.6,29.85074627,26.86567164,5.3,5.3,13.7,10.4,7.6,12.6,7.7
Cleveland Cavaliers: 2020,-7.89,-7.77,107.5,115.4,-7.9,29.23076923,27.69230769,5.4,5.2,17.2,3.5,6.2,10.5,7.8
Golden State Warriors: 2020,-8.71,-8.12,105.2,113.8,-8.6,23.07692308,24.61538462,4.2,4.6,0,13.8,4.8,4,5
