Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
34,2004,Atlanta Hawks,Atlanta Hawks: 2004,ATL,Donta Smith,Southeastern Illinois College,2,61,560,0.5,0.043,-3.2,-0.2,Yes,25.2,31.8,31.2,32,57,63.2,120.2,42.7,26.5,26.7,,,,,,,,,,,,,
35,2004,Seattle SuperSonics,Seattle SuperSonics: 2004,SEA,Andre Emmett,Texas Tech,2,14,73,0.1,0.04,-5.5,-0.1,Yes,16.7,37.7,29.3,12.9,54.4,42.2,96.6,24.4,17.1,19.8,,,,,,,,,,,,,
36,2004,Orlando Magic,Orlando Magic: 2004,ORL,Antonio Burks,Memphis,2,81,789,0.1,0.004,-5,-0.6,Yes,16.7,18.9,15.2,15.9,35.6,31.1,66.7,8,12.5,11.7,,,,,,,,,,,,,
37,2004,Atlanta Hawks,Atlanta Hawks: 2004,ATL,Royal Ivey,Texas,10,492,6162,4.5,0.035,-3.8,-2.7,Yes,43.8,3.4,26.8,25.5,47.2,52.3,99.5,17.1,21.8,21,,,,,,,,,,,,,
38,2004,Chicago Bulls,Chicago Bulls: 2004,CHI,Chris Duhon,Duke,9,606,15526,25,0.077,-1.2,3.2,Yes,71.7,68.2,55,60.8,139.9,115.8,255.7,74.8,65,70.6,,,,,,,,,,,,,
39,2004,Toronto Raptors,Toronto Raptors: 2004,TOR,Albert Miralles,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
40,2004,Boston Celtics,Boston Celtics: 2004,BOS,Justin Reed,Ole Miss,3,136,1436,0.5,0.016,-5.9,-1.4,Yes,25.2,9,18.5,10.5,34.2,29,63.2,6.7,11.4,10.7,,,,,,,,,,,,,
41,2004,Seattle SuperSonics,Seattle SuperSonics: 2004,SEA,David Young,NC Central,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
42,2004,Atlanta Hawks,Atlanta Hawks: 2004,ATL,Viktor Sanikidze,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
43,2004,New York Knicks,New York Knicks: 2004,NYK,Trevor Ariza,UCLA,18,1118,32953,64.3,0.094,0.6,21.8,Yes,91.9,92.3,68.8,83.3,184.2,152.1,336.3,93.1,81,88.3,,,,,,,,,,,,,
44,2004,New Orleans Hornets,New Orleans Hornets: 2004,NOH,Tim Pickett,Florida State,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
45,2004,Charlotte Bobcats,Charlotte Bobcats: 2004,CHA,Bernard Robinson,Michigan,3,128,1909,2,0.049,-2,0,Yes,35.6,44.6,34.8,48.2,80.2,83,163.2,56.2,35.1,51.4,,,,,,,,,,,,,
46,2004,Portland Trail Blazers,Portland Trail Blazers: 2004,POR,Ha Seung-Jin,,2,46,316,-0.2,-0.029,-8.8,-0.5,No,4.5,21.7,7.7,3.8,26.2,11.5,37.7,4.5,4.4,2.7,,,,,,,,,,,,,
47,2004,Miami Heat,Miami Heat: 2004,MIA,Pape Sow,Cal State Fullerton,3,76,879,0.8,0.044,-5.7,-0.8,Yes,28.3,15,31.9,11.5,43.3,43.4,86.7,13.1,17.8,17.4,,,,,,,,,,,,,
48,2004,Sacramento Kings,Sacramento Kings: 2004,SAC,Ricky Minard,Morehead State University,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
49,2004,Memphis Grizzlies,Memphis Grizzlies: 2004,MEM,Sergei Lishouk,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
50,2004,Dallas Mavericks,Dallas Mavericks: 2004,DAL,Vassilis Spanoulis,,1,31,272,-0.1,-0.01,-5.9,-0.3,No,7.3,27.4,11.6,10.5,34.7,22.1,56.8,6.9,8.7,8.9,,,,,,,,,,,,,
51,2004,New Jersey Nets,New Jersey Nets: 2004,NJN,Christian Drejer,Florida,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
52,2004,San Antonio Spurs,San Antonio Spurs: 2004,SAS,Romain Sato,Xavier,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
53,2004,Miami Heat,Miami Heat: 2004,MIA,Matt Freije,Vanderbilt,2,42,588,-0.6,-0.047,-6,-0.6,Yes,1.5,18.9,5.3,10.2,20.4,15.5,35.9,2.9,5.6,2.1,,,,,,,,,,,,,
54,2004,Detroit Pistons,Detroit Pistons: 2004,DET,Rickey Paulding,Missouri,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
55,2004,Houston Rockets,Houston Rockets: 2004,HOU,Luis Flores,Manhattan University,1,16,77,0,-0.02,-4.8,0,Yes,11,44.6,9.5,17.6,55.6,27.1,82.7,25.7,10.9,16.4,,,,,,,,,,,,,
56,2004,Los Angeles Lakers,Los Angeles Lakers: 2004,LAL,Marcus Douthit,Providence,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
57,2004,San Antonio Spurs,San Antonio Spurs: 2004,SAS,Sergei Karaulov,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
58,2004,Minnesota Timberwolves,Minnesota Timberwolves: 2004,MIN,Blake Stepp,Gonzaga,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
59,2004,Indiana Pacers,Indiana Pacers: 2004,IND,Rashad Wright,Georgia,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
1,2005,Milwaukee Bucks,Milwaukee Bucks: 2005,MIL,Andrew Bogut,Utah,14,706,19862,50.6,0.122,1.2,16,Yes,87.2,88.9,84.9,88.8,176.1,173.7,349.8,90.1,90.1,91.5,,,,,,,,,,,,,
2,2005,Atlanta Hawks,Atlanta Hawks: 2005,ATL,Marvin Williams,UNC,15,1072,30159,65.1,0.104,-0.4,12.3,Yes,92.2,85.3,74.6,71.5,177.5,146.1,323.6,90.6,78.6,86,,,,,,,,,,,,,
3,2005,Utah Jazz,Utah Jazz: 2005,UTA,Deron Williams,Illinois,12,845,28865,77.3,0.129,1.9,28.3,Yes,94.2,94.8,87.4,92.6,189,180,369,95.6,93.2,95.4,,,,,,,,,,,,,
4,2005,New Orleans Hornets,New Orleans Hornets: 2005,NOH,Chris Paul,Wake Forest,20,1354,45608,215.1,0.226,6.6,98.9,Yes,99.8,99.8,99.5,99.5,199.6,199,398.6,99.9,99.7,99.9,,,,,,,,,,,,,
5,2005,Charlotte Bobcats,Charlotte Bobcats: 2005,CHA,Raymond Felton,UNC,14,971,28829,40.2,0.067,-0.6,10.1,Yes,82.4,82.6,46.5,69.1,165,115.6,280.6,85.7,64.8,75.8,,,,,,,,,,,,,
6,2005,Portland Trail Blazers,Portland Trail Blazers: 2005,POR,Martell Webster,,10,580,13914,24.7,0.085,-0.8,4.3,No,71.1,71.2,61.9,66.4,142.3,128.3,270.6,75.4,70.6,73.4,,,,,,,,,,,,,
7,2005,Toronto Raptors,Toronto Raptors: 2005,TOR,Charlie Villanueva,UConn,11,656,13578,22.6,0.08,-0.6,4.7,Yes,68.9,72.6,57.7,69.1,141.5,126.8,268.3,75.2,69.8,73,,,,,,,,,,,,,
8,2005,New York Knicks,New York Knicks: 2005,NYK,Channing Frye,Arizona,13,890,19772,38.9,0.094,-0.4,8,Yes,81.6,79.4,68.8,71.5,161,140.3,301.3,84.1,76,81.1,,,,,,,,,,,,,
9,2005,Golden State Warriors,Golden State Warriors: 2005,GSW,Ike Diogu,Arizona State,6,225,2795,6.5,0.112,-3,-0.7,Yes,47.8,16.9,79.1,33.8,64.7,112.9,177.6,49.3,63.3,54.4,,,,,,,,,,,,,
10,2005,Los Angeles Lakers,Los Angeles Lakers: 2005,LAL,Andrew Bynum,,8,418,10690,37.4,0.168,1.4,9.1,No,80.6,81.3,96.4,90.2,161.9,186.6,348.5,84.5,95.7,91.2,,,,,,,,,,,,,
11,2005,Orlando Magic,Orlando Magic: 2005,ORL,Fran Vazquez,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
12,2005,Los Angeles Clippers,Los Angeles Clippers: 2005,LAC,Yaroslav Korolev,,2,34,168,-0.1,-0.024,-5.2,-0.1,No,7.3,37.7,8.7,14.6,45,23.3,68.3,14.4,9.4,12,,,,,,,,,,,,,
13,2005,Charlotte Bobcats,Charlotte Bobcats: 2005,CHA,Sean May,UNC,4,119,1868,2.6,0.068,-1.7,0.2,Yes,38.2,53.7,47.2,53.3,91.9,100.5,192.4,59.2,56.9,56.8,,,,,,,,,,,,,
14,2005,Minnesota Timberwolves,Minnesota Timberwolves: 2005,MIN,Rashad McCants,UNC,4,249,5037,3.6,0.035,-1.7,0.4,Yes,41.4,55.5,26.8,53.3,96.9,80.1,177,60.4,34.4,54.2,,,,,,,,,,,,,
15,2005,New Jersey Nets,New Jersey Nets: 2005,NJN,Antoine Wright,Texas A&M,6,297,5714,3.1,0.026,-3.7,-2.4,Yes,39.9,4.2,22.7,26.7,44.1,49.4,93.5,13.9,20.3,19.1,,,,,,,,,,,,,
16,2005,Toronto Raptors,Toronto Raptors: 2005,TOR,Joey Graham,Oklahoma State,6,377,6117,7.8,0.061,-3.6,-2.4,Yes,49.7,4.2,42.3,28,53.9,70.3,124.2,24,29.7,28,,,,,,,,,,,,,
17,2005,Indiana Pacers,Indiana Pacers: 2005,IND,Danny Granger,New Mexico,10,586,18487,48.5,0.126,1.8,17.7,Yes,86.4,89.7,86.4,92.1,176.1,178.5,354.6,90.1,92.4,92.3,,,,,,,,,,,,,
18,2005,Boston Celtics,Boston Celtics: 2005,BOS,Gerald Green,,12,658,13026,18.4,0.068,-1.3,2.4,No,63.8,65.3,47.2,59.7,129.1,106.9,236,70.8,60.2,65.9,,,,,,,,,,,,,
19,2005,Memphis Grizzlies,Memphis Grizzlies: 2005,MEM,Hakim Warrick,Syracuse,8,526,10624,20.4,0.092,-1.9,0.4,Yes,66.7,55.5,67.4,50.1,122.2,117.5,239.7,67.7,66,66.6,,,,,,,,,,,,,
20,2005,Denver Nuggets,Denver Nuggets: 2005,DEN,Julius Hodge,NC State,2,23,98,0,0.003,-3.7,0,Yes,11,44.6,14.8,26.7,55.6,41.5,97.1,25.7,16.8,20,,,,,,,,,,,,,
21,2005,Phoenix Suns,Phoenix Suns: 2005,PHO,Nate Robinson,Washington,11,618,13878,27.8,0.096,0.5,8.6,Yes,74.3,80.1,70,82.2,154.4,152.2,306.6,80.5,81.1,82.1,,,,,,,,,,,,,
22,2005,Denver Nuggets,Denver Nuggets: 2005,DEN,Jarrett Jack,Georgia Tech,13,867,24140,36.8,0.073,-0.9,6.5,Yes,80.4,76.4,51.9,64.9,156.8,116.8,273.6,81.8,65.6,74,,,,,,,,,,,,,
23,2005,Sacramento Kings,Sacramento Kings: 2005,SAC,Francisco Garcia,Louisville,10,549,11853,18.2,0.074,-0.1,5.7,Yes,63.6,75.1,52.5,75.2,138.7,127.7,266.4,74.2,70.3,72.6,,,,,,,,,,,,,
24,2005,Houston Rockets,Houston Rockets: 2005,HOU,Luther Head,Illinois,6,348,7797,14.7,0.09,0.1,4.2,Yes,59.7,70.7,66.2,77.6,130.4,143.8,274.2,71.2,77.5,74.2,,,,,,,,,,,,,
25,2005,Seattle SuperSonics,Seattle SuperSonics: 2005,SEA,Johan Petro,,8,473,7262,5.5,0.037,-4.6,-4.6,No,46,0.8,28,19.2,46.8,47.2,94,16.2,19.2,19.3,,,,,,,,,,,,,
26,2005,Detroit Pistons,Detroit Pistons: 2005,DET,Jason Maxiell,Cincinnati,10,618,11379,20.3,0.086,-2.5,-1.4,Yes,66.6,9,62.9,41.2,75.6,104.1,179.7,54.7,58.8,55,,,,,,,,,,,,,
27,2005,Portland Trail Blazers,Portland Trail Blazers: 2005,POR,Linas Kleiza,Missouri,7,409,8185,13.6,0.08,-2.3,-0.7,Yes,58.1,16.9,57.7,44.4,75,102.1,177.1,54.4,57.7,54.3,,,,,,,,,,,,,
28,2005,San Antonio Spurs,San Antonio Spurs: 2005,SAS,Ian Mahinmi,,12,618,10353,26.1,0.121,-2,0.1,No,72.5,51.7,84.2,48.2,124.2,132.4,256.6,68.2,72.8,70.8,,,,,,,,,,,,,
29,2005,Miami Heat,Miami Heat: 2005,MIA,Wayne Simien,Kansas,2,51,507,0.9,0.083,-4.4,-0.3,Yes,29.3,27.4,60.2,20.4,56.7,80.6,137.3,42.5,34.5,31.9,,,,,,,,,,,,,
30,2005,New York Knicks,New York Knicks: 2005,NYK,David Lee,Florida,12,829,24293,76,0.15,1.1,19.2,Yes,94,90.8,93.1,88.2,184.8,181.3,366.1,93.7,93.7,94.8,,,,,,,,,,,,,
31,2005,Atlanta Hawks,Atlanta Hawks: 2005,ATL,Salim Stoudamire,Arizona,3,157,2672,2.2,0.04,-2.9,-0.6,Yes,36.8,18.9,29.3,35.2,55.7,64.5,120.2,41.8,26.9,26.7,,,,,,,,,,,,,
32,2005,Los Angeles Clippers,Los Angeles Clippers: 2005,LAC,Daniel Ewing,Duke,2,127,1683,0.8,0.024,-3,-0.4,Yes,28.3,24.4,21.3,33.8,52.7,55.1,107.8,22.8,23.1,23.7,,,,,,,,,,,,,
33,2005,New Orleans Hornets,New Orleans Hornets: 2005,NOH,Brandon Bass,LSU,12,758,16410,42.8,0.125,-0.8,5.1,Yes,83.5,73.7,86,66.4,157.2,152.4,309.6,81.9,81.2,83,,,,,,,,,,,,,
34,2005,Utah Jazz,Utah Jazz: 2005,UTA,C.J. Miles,,16,849,17284,30.1,0.084,-0.4,6.9,No,75.9,77.3,60.8,71.5,153.2,132.3,285.5,79.9,72.6,77,,,,,,,,,,,,,
35,2005,Portland Trail Blazers,Portland Trail Blazers: 2005,POR,Ricky Sanchez,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
36,2005,Milwaukee Bucks,Milwaukee Bucks: 2005,MIL,Ersan Ilyasova,,13,825,18957,48.8,0.124,-0.1,9,No,86.6,81,85.7,75.2,167.6,160.9,328.5,86.7,84.7,86.8,,,,,,,,,,,,,
37,2005,Los Angeles Lakers,Los Angeles Lakers: 2005,LAL,Ronny Turiaf,Gonzaga,10,473,8020,19.2,0.115,0.3,4.7,Yes,65.1,72.6,81.2,80,137.7,161.2,298.9,73.8,84.8,80.2,,,,,,,,,,,,,
38,2005,Orlando Magic,Orlando Magic: 2005,ORL,Travis Diener,Marquette,5,179,2660,5.6,0.102,-0.4,1.1,Yes,46.1,60.3,73.4,71.5,106.4,144.9,251.3,62.7,78.2,69.6,,,,,,,,,,,,,
39,2005,Los Angeles Lakers,Los Angeles Lakers: 2005,LAL,Von Wafer,Florida State,6,200,2475,3.3,0.064,-1.8,0.1,Yes,40.9,51.7,44.7,51.7,92.6,96.4,189,59.4,54.9,56.3,,,,,,,,,,,,,
40,2005,Golden State Warriors,Golden State Warriors: 2005,GSW,Monta Ellis,,12,833,29011,41.9,0.069,-0.3,12.4,No,83.1,85.5,48.3,73.2,168.6,121.5,290.1,87.1,67.7,78.2,,,,,,,,,,,,,
41,2005,Toronto Raptors,Toronto Raptors: 2005,TOR,Roko Ukic,,2,85,987,-0.2,-0.007,-4.3,-0.6,No,4.5,18.9,12.2,21.2,23.4,33.4,56.8,3.6,13.5,8.8,,,,,,,,,,,,,
42,2005,Golden State Warriors,Golden State Warriors: 2005,GSW,Chris Taft,Pitt,1,17,144,0.5,0.155,-0.7,0,Yes,25.2,44.6,94.5,67.8,69.8,162.3,232.1,51.9,85.4,65,,,,,,,,,,,,,
43,2005,New Jersey Nets,New Jersey Nets: 2005,NJN,Mile Ilic,,1,5,6,-0.2,-1.264,-52,-0.1,No,4.5,37.7,0,0,42.2,0,42.2,11.9,0,3.8,,,,,,,,,,,,,
44,2005,Orlando Magic,Orlando Magic: 2005,ORL,Martynas Andriuskevicius,,1,6,9,0,0.155,5.2,0,No,11,44.6,94.5,98.9,55.6,193.4,249,25.7,97.9,68.9,,,,,,,,,,,,,
45,2005,Philadelphia 76ers,Philadelphia 76ers: 2005,PHI,Lou Williams,,17,1123,27104,65.7,0.116,1.4,23.2,No,92.4,93.1,81.9,90.2,185.5,172.1,357.6,94,89.3,93.1,,,,,,,,,,,,,
46,2005,Indiana Pacers,Indiana Pacers: 2005,IND,Erazem Lorbek,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
47,2005,Minnesota Timberwolves,Minnesota Timberwolves: 2005,MIN,Bracey Wright,Indiana,2,26,325,0.5,0.068,-1.6,0,Yes,25.2,44.6,47.2,54.7,69.8,101.9,171.7,51.9,57.5,52.9,,,,,,,,,,,,,
48,2005,Seattle SuperSonics,Seattle SuperSonics: 2005,SEA,Mickael Gelabale,,3,145,2348,3,0.062,-2.1,0,No,39.3,44.6,43.3,46.4,83.9,89.7,173.6,57.1,37.7,53.5,,,,,,,,,,,,,
49,2005,Washington Wizards,Washington Wizards: 2005,WAS,Andray Blatche,,9,564,12462,19.2,0.074,-0.8,3.8,No,65.1,70,52.5,66.4,135.1,118.9,254,73,66.7,70.4,,,,,,,,,,,,,
50,2005,Boston Celtics,Boston Celtics: 2005,BOS,Ryan Gomes,Providence,8,487,13463,19.4,0.069,-1.6,1.4,Yes,65.4,61.7,48.3,54.7,127.1,103,230.1,69.9,58,64.5,,,,,,,,,,,,,
51,2005,Utah Jazz,Utah Jazz: 2005,UTA,Robert Whaley,Walsh University,1,23,212,0,0.004,-5.1,-0.2,Yes,11,31.8,15.2,15.2,42.8,30.4,73.2,12.7,12.2,13.8,,,,,,,,,,,,,
52,2005,Denver Nuggets,Denver Nuggets: 2005,DEN,Axel Hervelle,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
53,2005,Boston Celtics,Boston Celtics: 2005,BOS,Orien Greene,Louisiana,4,131,1555,-0.7,-0.022,-4.6,-1,Yes,1.2,12.8,8.9,19.2,14,28.1,42.1,1.2,11.2,3.7,,,,,,,,,,,,,
54,2005,New York Knicks,New York Knicks: 2005,NYK,Dijon Thompson,UCLA,2,16,93,0.2,0.102,-0.5,0,Yes,19.6,44.6,73.4,70.2,64.2,143.6,207.8,48,77.3,59.4,,,,,,,,,,,,,
55,2005,Seattle SuperSonics,Seattle SuperSonics: 2005,SEA,Lawrence Roberts,Mississippi State,2,87,1150,2.5,0.106,-1.9,0,Yes,37.9,44.6,75.9,50.1,82.5,126,208.5,56.7,69.5,59.5,,,,,,,,,,,,,
56,2005,Detroit Pistons,Detroit Pistons: 2005,DET,Amir Johnson,,14,870,18323,55.3,0.145,0.3,10.6,No,88.6,83.5,92.2,80,172.1,172.2,344.3,88.6,89.4,90.2,,,,,,,,,,,,,
57,2005,Phoenix Suns,Phoenix Suns: 2005,PHO,Marcin Gortat,,12,806,20691,61.3,0.142,0.4,12.7,No,90.8,86.1,91.5,81.5,176.9,173,349.9,90.4,89.7,91.5,,,,,,,,,,,,,
58,2005,Toronto Raptors,Toronto Raptors: 2005,TOR,Uros Slokar,,1,20,72,0.1,0.042,-5.6,-0.1,No,16.7,37.7,30.6,12.3,54.4,42.9,97.3,24.4,17.5,20,,,,,,,,,,,,,
59,2005,Atlanta Hawks,Atlanta Hawks: 2005,ATL,Cenk Akyol,,,,,,,,,No,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
60,2005,Detroit Pistons,Detroit Pistons: 2005,DET,Alex Acker,Pepperdine,2,30,234,-0.2,-0.043,-5.3,-0.2,Yes,4.5,31.8,5.9,14.1,36.3,20,56.3,8.1,7.6,8.6,,,,,,,,,,,,,
1,2006,Toronto Raptors,Toronto Raptors: 2006,TOR,Andrea Bargnani,,10,550,15806,18.9,0.057,-1.6,1.5,No,64.6,62.1,39.1,54.7,126.7,93.8,220.5,69.5,53.5,62.4,,,,,,,,,,,,,
2,2006,Chicago Bulls,Chicago Bulls: 2006,CHI,LaMarcus Aldridge,Texas,16,1076,36242,115.6,0.153,1.7,33.4,Yes,98,96.3,94.1,91.4,194.3,185.5,379.8,97.6,95.3,97,,,,,,,,,,,,,
3,2006,Charlotte Bobcats,Charlotte Bobcats: 2006,CHA,Adam Morrison,Gonzaga,3,161,3278,-1.4,-0.021,-5,-2.4,Yes,0.2,4.2,9.1,15.9,4.4,25,29.4,0,10,1.1,,,,,,,,,,,,,
4,2006,Portland Trail Blazers,Portland Trail Blazers: 2006,POR,Tyrus Thomas,LSU,8,402,7932,13,0.078,-1.2,1.7,Yes,57.3,62.7,55.7,60.8,120,116.5,236.5,66.9,65.4,66,,,,,,,,,,,,,
5,2006,Atlanta Hawks,Atlanta Hawks: 2006,ATL,Shelden Williams,Duke,6,361,5586,9.9,0.085,-3,-1.5,Yes,52.7,8.2,61.9,33.8,60.9,95.7,156.6,45.9,54.6,50.2,,,,,,,,,,,,,
6,2006,Minnesota Timberwolves,Minnesota Timberwolves: 2006,MIN,Brandon Roy,Washington,6,326,11561,37.4,0.155,3.6,16.3,Yes,80.6,89.1,94.5,97.3,169.7,191.8,361.5,87.6,97.3,93.7,,,,,,,,,,,,,
7,2006,Boston Celtics,Boston Celtics: 2006,BOS,Randy Foye,Villanova,11,752,19279,23.5,0.058,-1.2,3.8,Yes,69.9,70,39.8,60.8,139.9,100.6,240.5,74.7,57,66.7,,,,,,,,,,,,,
8,2006,Houston Rockets,Houston Rockets: 2006,HOU,Rudy Gay,UConn,17,1120,34561,61,0.085,0.6,22.4,Yes,90.7,92.8,61.9,83.3,183.5,145.2,328.7,92.8,78.2,86.9,,,,,,,,,,,,,
9,2006,Golden State Warriors,Golden State Warriors: 2006,GSW,Patrick O'Bryant,Bradley,4,90,524,0.5,0.046,-4.6,-0.3,Yes,25.2,27.4,33.2,19.2,52.6,52.4,105,22.6,22,22.6,,,,,,,,,,,,,
10,2006,Seattle SuperSonics,Seattle SuperSonics: 2006,SEA,Mouhamed Sene,,3,47,260,0.3,0.052,-5.1,-0.2,No,22,31.8,36.2,15.2,53.8,51.4,105.2,23.4,21.3,22.7,,,,,,,,,,,,,
11,2006,Orlando Magic,Orlando Magic: 2006,ORL,JJ Redick,Duke,15,940,23964,63.7,0.128,0.6,16,Yes,91.8,88.9,87.2,83.3,180.7,170.5,351.2,91.7,88.5,91.7,,,,,,,,,,,,,
12,2006,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets: 2006,NOK,Hilton Armstrong,UConn,6,292,3378,3.9,0.055,-4.1,-1.8,Yes,42.2,6.2,38.1,22.5,48.4,60.6,109,17.8,25.2,24,,,,,,,,,,,,,
13,2006,Philadelphia 76ers,Philadelphia 76ers: 2006,PHI,Thabo Sefolosha,,14,869,19062,39.3,0.099,0.6,12.4,No,81.9,85.5,71.9,83.3,167.4,155.2,322.6,86.6,82.2,85.6,,,,,,,,,,,,,
14,2006,Utah Jazz,Utah Jazz: 2006,UTA,Ronnie Brewer,Arkansas,8,502,11539,30.4,0.127,1.6,10.6,Yes,76.1,83.5,86.7,91,159.6,177.7,337.3,83.4,92,88.5,,,,,,,,,,,,,
15,2006,New Orleans/Oklahoma City Hornets,New Orleans/Oklahoma City Hornets: 2006,NOK,Cedric Simmons,NC State,3,75,705,0.1,0.005,-5,-0.5,Yes,16.7,21.7,15.5,15.9,38.4,31.4,69.8,9.3,12.6,12.6,,,,,,,,,,,,,
16,2006,Chicago Bulls,Chicago Bulls: 2006,CHI,Rodney Carney,Memphis,5,299,4600,6.2,0.064,-1.6,0.5,Yes,47,56.5,44.7,54.7,103.5,99.4,202.9,61.7,56.2,58.9,,,,,,,,,,,,,
17,2006,Indiana Pacers,Indiana Pacers: 2006,IND,Shawne Williams,Memphis,7,314,5368,6.7,0.06,-2.2,-0.3,Yes,48.3,27.4,41.5,45.6,75.7,87.1,162.8,54.8,36.8,51.4,,,,,,,,,,,,,
18,2006,Washington Wizards,Washington Wizards: 2006,WAS,Oleksiy Pecherov,,3,111,1044,0.5,0.025,-4.8,-0.7,No,25.2,16.9,22.1,17.6,42.1,39.7,81.8,11.8,16,16.1,,,,,,,,,,,,,
19,2006,Sacramento Kings,Sacramento Kings: 2006,SAC,Quincy Douby,Rutgers University,3,143,1535,0,0,-3.5,-0.6,Yes,11,18.9,13.8,28.9,29.9,42.7,72.6,5.5,17.4,13.6,,,,,,,,,,,,,
20,2006,New York Knicks,New York Knicks: 2006,NYK,Renaldo Balkman,South Carolina,6,221,3064,7.2,0.113,0.1,1.6,Yes,49,62.5,79.5,77.6,111.5,157.1,268.6,64.3,83.1,73.1,,,,,,,,,,,,,
21,2006,Phoenix Suns,Phoenix Suns: 2006,PHO,Rajon Rondo,Kentucky,16,957,28571,61.8,0.104,1.2,23.2,Yes,91,93.1,74.6,88.8,184.1,163.4,347.5,93,86.1,91,,,,,,,,,,,,,
22,2006,New Jersey Nets,New Jersey Nets: 2006,NJN,Marcus Williams,UConn,4,203,3095,0,-0.001,-3.3,-1,Yes,11,12.8,13.4,31.1,23.8,44.5,68.3,3.8,18.4,12,,,,,,,,,,,,,
23,2006,New Jersey Nets,New Jersey Nets: 2006,NJN,Josh Boone,UConn,4,256,4482,9.1,0.097,-2,0,Yes,51.8,44.6,70.5,48.2,96.4,118.7,215.1,60.2,66.5,61.1,,,,,,,,,,,,,
24,2006,Memphis Grizzlies,Memphis Grizzlies: 2006,MEM,Kyle Lowry,Villanova,19,1173,36680,112.6,0.147,2.7,43.3,Yes,98,97.7,92.4,95.5,195.7,187.9,383.6,98.4,96,97.9,,,,,,,,,,,,,
25,2006,Cleveland Cavaliers,Cleveland Cavaliers: 2006,CLE,Shannon Brown,Michigan State,9,408,7329,9.2,0.06,-1.5,1,Yes,51.9,59.9,41.5,56.6,111.8,98.1,209.9,64.4,55.7,60,,,,,,,,,,,,,
26,2006,Los Angeles Lakers,Los Angeles Lakers: 2006,LAL,Jordan Farmar,UCLA,10,504,9840,13.9,0.068,-0.5,3.7,Yes,58.6,69.6,47.2,70.2,128.2,117.4,245.6,70.3,65.9,67.7,,,,,,,,,,,,,
27,2006,Phoenix Suns,Phoenix Suns: 2006,PHO,Sergio Rodriguez,,5,353,5281,4.3,0.039,-2,0.1,No,43.4,51.7,28.9,48.2,95.1,77.1,172.2,60,33,53.1,,,,,,,,,,,,,
28,2006,Dallas Mavericks,Dallas Mavericks: 2006,DAL,Maurice Ager,Michigan State,4,82,505,-0.9,-0.089,-9.4,-0.9,Yes,0.6,13.7,3.5,3.4,14.3,6.9,21.2,1.3,2.8,0,,,,,,,,,,,,,
29,2006,New York Knicks,New York Knicks: 2006,NYK,Mardy Collins,Temple,4,189,2771,-1.6,-0.027,-4.4,-1.7,Yes,0,6.9,8.1,20.4,6.9,28.5,35.4,0.2,11.3,2,,,,,,,,,,,,,
