Pick,Draft Year,Team (Full Name),Team And Draft Year,Team Abbr.,Player,College,Years Played,Games Played,Minutes Played,WS,WS/48,BPM,VORP,College?,WS Percentile,VORP Percentile,WS/48 Percentile,BPM Percentile,Counting Stat Total,Rate Stat Total,Overall Total,Counting Stat Percentile,Rate Stat Percentile,Overall Value Percentile,,,,,,,,,,,,,
25,1985,Portland Trail Blazers,Portland Trail Blazers: 1985,POR,Mike Smrek,Canisius,7,194,1890,0.7,0.018,-6.1,-1.9,Yes,27.5,5.7,19.5,9.7,33.2,29.2,62.4,6.6,11.6,10.2,,,,,,,,,,,,,
26,1985,Indiana Pacers,Indiana Pacers: 1985,IND,Bill Martin,Georgetown,3,84,860,0.3,0.016,-4.4,-0.5,Yes,22,21.7,18.5,20.4,43.7,38.9,82.6,13.3,15.8,16.3,,,,,,,,,,,,,
27,1985,Indiana Pacers,Indiana Pacers: 1985,IND,Dwayne McClain,Villanova,1,45,461,-0.3,-0.026,-3.8,-0.2,Yes,3.4,31.8,8.3,25.5,35.2,33.8,69,7.4,13.7,12.3,,,,,,,,,,,,,
28,1985,Chicago Bulls,Chicago Bulls: 1985,CHI,Ken Johnson,Michigan State,1,64,815,0.8,0.044,-4.9,-0.6,Yes,28.3,18.9,31.9,16.7,47.2,48.6,95.8,17.1,19.8,19.7,,,,,,,,,,,,,
29,1985,San Antonio Spurs,San Antonio Spurs: 1985,SAS,Mike Brittain,South Carolina,2,38,248,-0.1,-0.011,-7.6,-0.4,Yes,7.3,24.4,11.5,6,31.7,17.5,49.2,6,6.5,6.3,,,,,,,,,,,,,
30,1985,Cleveland Cavaliers,Cleveland Cavaliers: 1985,CLE,Calvin Duncan,VCU,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
31,1985,Washington Bullets,Washington Bullets: 1985,WSB,Manute Bol,University of Bridgeport,10,624,11698,12.3,0.051,-0.5,4.5,Yes,56.2,71.8,35.5,70.2,128,105.7,233.7,70.1,59.5,65.6,,,,,,,,,,,,,
32,1985,Phoenix Suns,Phoenix Suns: 1985,PHO,Nick Vanos,Santa Clara,2,68,842,-0.1,-0.007,-5.5,-0.7,Yes,7.3,16.9,12.2,12.9,24.2,25.1,49.3,3.9,10.1,6.3,,,,,,,,,,,,,
33,1985,Philadelphia 76ers,Philadelphia 76ers: 1985,PHI,Greg Stokes,Iowa,2,42,384,0.3,0.041,-4.1,-0.2,Yes,22,31.8,29.8,22.5,53.8,52.3,106.1,23.4,21.8,23.1,,,,,,,,,,,,,
34,1985,Chicago Bulls,Chicago Bulls: 1985,CHI,Aubrey Sherrod,Wichita State,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
35,1985,San Antonio Spurs,San Antonio Spurs: 1985,SAS,Tyrone Corbin,DePaul,16,1065,27657,56.5,0.098,-0.3,12,Yes,89.3,85.1,71.2,73.2,174.4,144.4,318.8,89.3,77.9,84.7,,,,,,,,,,,,,
36,1985,New Jersey Nets,New Jersey Nets: 1985,NJN,Yvon Joseph,Georgia Tech,1,1,5,0,0.309,0.7,0,Yes,11,44.6,99.8,84.2,55.6,184,239.6,25.7,94.6,66.6,,,,,,,,,,,,,
37,1985,Utah Jazz,Utah Jazz: 1985,UTA,Carey Scurry,Long Island University,3,180,2376,5.3,0.107,1.7,2.2,Yes,45.7,64.3,76.5,91.4,110,167.9,277.9,63.7,87.7,74.9,,,,,,,,,,,,,
38,1985,New Jersey Nets,New Jersey Nets: 1985,NJN,Fernando Martin,,1,24,146,-0.4,-0.144,-10.3,-0.3,No,2.5,27.4,1.8,2.6,29.9,4.4,34.3,5.7,1.7,1.8,,,,,,,,,,,,,
39,1985,Portland Trail Blazers,Portland Trail Blazers: 1985,POR,George Montgomery,Illinois,,,,,,,,Yes,11,44.6,13.8,76.5,55.6,90.3,145.9,25.7,37.9,34.1,,,,,,,,,,,,,
40,1985,Dallas Mavericks,Dallas Mavericks: 1985,DAL,Mark Acres,Oral Roberts,6,375,5982,9.3,0.075,-3.3,-1.9,Yes,52.1,5.7,53.2,31.1,57.8,84.3,142.1,43.3,35.7,33.4,,,,,,,,,,,,,
